AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,TimeInShelterDays,AgeInDays,TimeInShelterDays_log
Cat,Domestic Shorthair,Cream Tabby,Intact Male,Stray,Normal,35,28,3.58351893845611
Dog,Chihuahua Shorthair,White/Tan,Intact Male,Stray,Normal,4,730,1.6094379124341003
Dog,Pit Bull,Brown/White,Intact Female,Stray,Normal,139,150,4.941642422609304
Dog,Chihuahua Shorthair,Tricolor,Intact Female,Stray,Normal,112,730,4.727387818712341
Cat,Domestic Shorthair Mix,Brown Tabby/White,Neutered Male,Owner Surrender,Normal,76,5110,4.343805421853684
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,22,30,3.1354942159291497
Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,35,28,3.58351893845611
Cat,Domestic Shorthair Mix,Torbie,Intact Female,Stray,Normal,4,30,1.6094379124341003
Dog,Australian Cattle Dog/Labrador Retriever,Tan/White,Intact Female,Stray,Normal,4,60,1.6094379124341003
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Owner Surrender,Normal,16,730,2.833213344056216
Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,7,30,2.0794415416798357
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,30,30,3.4339872044851463
Cat,Domestic Shorthair Mix,Blue,Intact Female,Stray,Normal,79,1,4.382026634673881
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Normal,38,28,3.6635616461296463
Dog,Labrador Retriever,Tan,Intact Male,Owner Surrender,Normal,4,30,1.6094379124341003
Dog,Pit Bull Mix,Black/White,Spayed Female,Stray,Normal,363,1095,5.8971538676367405
Dog,Tibetan Spaniel Mix,Black/White,Intact Male,Owner Surrender,Normal,3,1460,1.3862943611198906
Dog,Pit Bull/Australian Cattle Dog,White,Neutered Male,Stray,Normal,52,365,3.970291913552122
Cat,Domestic Longhair Mix,Torbie,Spayed Female,Stray,Normal,22,2920,3.1354942159291497
Dog,Dachshund/Chihuahua Shorthair,Brown Merle,Intact Male,Stray,Normal,4,60,1.6094379124341003
Cat,Domestic Longhair Mix,Brown Tabby,Intact Male,Stray,Normal,52,30,3.970291913552122
Cat,American Shorthair Mix,White/Blue,Intact Female,Owner Surrender,Normal,2,365,1.0986122886681098
Cat,Domestic Shorthair Mix,White/Black,Spayed Female,Owner Surrender,Normal,25,365,3.258096538021482
Cat,Domestic Shorthair Mix,Torbie,Intact Female,Owner Surrender,Normal,26,90,3.295836866004329
Dog,German Shepherd,Brown/Black,Spayed Female,Owner Surrender,Normal,3,2555,1.3862943611198906
Dog,German Shepherd,Brown/Black,Spayed Female,Owner Surrender,Normal,33,2555,3.5263605246161616
Dog,Great Dane,Black/Brown Brindle,Neutered Male,Stray,Normal,6,365,1.9459101490553132
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Owner Surrender,Normal,319,365,5.768320995793772
Cat,Domestic Shorthair Mix,Blue Tabby,Spayed Female,Stray,Normal,6,60,1.9459101490553132
Dog,Australian Kelpie Mix,Black/White,Spayed Female,Owner Surrender,Normal,19,365,2.995732273553991
Dog,Labrador Retriever Mix,Yellow,Intact Female,Stray,Normal,18,365,2.9444389791664403
Dog,Labrador Retriever Mix,Yellow,Intact Female,Stray,Normal,31,365,3.4657359027997265
Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,40,28,3.713572066704308
Dog,Great Pyrenees Mix,White,Intact Male,Stray,Normal,8,1095,2.1972245773362196
Dog,German Shepherd Mix,Black/Tan,Neutered Male,Stray,Injured,52,730,3.970291913552122
Dog,Feist/Beagle,Black/Brown,Intact Male,Stray,Normal,259,120,5.560681631015528
Dog,Feist/Beagle,Black/Brown,Intact Male,Stray,Normal,218,120,5.389071729816501
Dog,Feist/Beagle,Black/Brown,Intact Male,Stray,Normal,6,120,1.9459101490553132
Dog,Pit Bull Mix,Blue/White,Neutered Male,Stray,Normal,64,730,4.174387269895637
Dog,American Pit Bull Terrier Mix,White/Brown,Intact Female,Owner Surrender,Normal,30,180,3.4339872044851463
Cat,Domestic Shorthair Mix,Cream/White,Intact Male,Stray,Normal,22,30,3.1354942159291497
Dog,Rottweiler Mix,Black/Tan,Intact Female,Owner Surrender,Normal,4,30,1.6094379124341003
Cat,Domestic Medium Hair,Brown Tabby/White,Intact Male,Owner Surrender,Normal,29,30,3.4011973816621555
Dog,Chihuahua Shorthair Mix,White/Cream,Spayed Female,Public Assist,Normal,13,730,2.6390573296152584
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,22,30,3.1354942159291497
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,35,30,3.58351893845611
Dog,Chihuahua Shorthair/Jack Russell Terrier,Tricolor,Spayed Female,Stray,Normal,181,210,5.204006687076795
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,64,21,4.174387269895637
Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,Stray,Normal,4,60,1.6094379124341003
Dog,Labrador Retriever Mix,Brown Tiger/White,Intact Female,Stray,Normal,227,1095,5.429345628954441
Dog,Chihuahua Shorthair Mix,Black,Intact Female,Stray,Normal,15,30,2.772588722239781
Dog,Staffordshire/English Bulldog,Blue/White,Spayed Female,Owner Surrender,Normal,11,730,2.4849066497880004
Dog,Staffordshire/English Bulldog,Blue/White,Spayed Female,Owner Surrender,Normal,80,730,4.394449154672439
Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,4,30,1.6094379124341003
Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,42,21,3.7612001156935624
Cat,Domestic Shorthair,Black,Intact Male,Stray,Normal,157,28,5.062595033026967
Dog,Australian Shepherd/Chow Chow,Brown/Black,Neutered Male,Owner Surrender,Normal,4,730,1.6094379124341003
Dog,Chihuahua Longhair Mix,Chocolate/White,Intact Male,Stray,Normal,5,365,1.791759469228055
Cat,Domestic Shorthair Mix,Torbie,Spayed Female,Owner Surrender,Normal,20,1825,3.044522437723423
Dog,Labrador Retriever Mix,Tan/White,Intact Male,Stray,Normal,4,60,1.6094379124341003
Dog,German Shepherd/Great Pyrenees,Tan/White,Intact Male,Stray,Normal,4,240,1.6094379124341003
Cat,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,Stray,Normal,4,2920,1.6094379124341003
Cat,Domestic Shorthair,Blue,Intact Female,Owner Surrender,Sick,16,60,2.833213344056216
