AnimalType,Color,Sex,IntakeType,IntakeCondition,TimeInShelterDays,AgeInDays,TimeInShelterDays_log,AgeGroup,breed_type,Breed_grouped,Color_grouped
Cat,Cream Tabby,Intact Male,Stray,Normal,35,28,3.58351893845611,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,White/Tan,Intact Male,Stray,Normal,4,730,1.6094379124341005,Adulto joven (1-3a),purebred,Chihuahua Shorthair,Bicolor
Dog,Brown/White,Intact Female,Stray,Normal,139,150,4.941642422609304,Cachorro (<6m),purebred,Pit Bull,Bicolor
Dog,Tricolor,Intact Female,Stray,Normal,112,730,4.727387818712341,Adulto joven (1-3a),purebred,Chihuahua Shorthair,Tricolor
Cat,Brown Tabby/White,Neutered Male,Owner Surrender,Normal,76,5110,4.343805421853684,Senior (>7a),purebred,Domestic Shorthair Mix,Bicolor
Cat,Brown Tabby,Intact Female,Stray,Normal,22,30,3.1354942159291497,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Black/White,Intact Female,Stray,Normal,35,28,3.58351893845611,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,Torbie,Intact Female,Stray,Normal,4,30,1.6094379124341005,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Tan/White,Intact Female,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),purebred,Other,Bicolor
Dog,Black/White,Spayed Female,Owner Surrender,Normal,16,730,2.833213344056216,Adulto joven (1-3a),mix,Labrador Retriever Mix,Bicolor
Dog,Black,Intact Female,Stray,Normal,7,30,2.079441541679836,Cachorro (<6m),mix,Labrador Retriever Mix,Monocolor
Cat,Black,Intact Female,Stray,Normal,30,30,3.4339872044851463,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Blue,Intact Female,Stray,Normal,79,1,4.382026634673881,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Brown Tabby,Intact Male,Stray,Normal,38,28,3.6635616461296463,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,Tan,Intact Male,Owner Surrender,Normal,4,30,1.6094379124341005,Cachorro (<6m),purebred,Labrador Retriever,Monocolor
Dog,Black/White,Spayed Female,Stray,Normal,363,1095,5.8971538676367405,Adulto joven (1-3a),mix,Pit Bull Mix,Bicolor
Dog,Black/White,Intact Male,Owner Surrender,Normal,3,1460,1.3862943611198906,Adulto (3-7a),mix,Other,Bicolor
Dog,White,Neutered Male,Stray,Normal,52,365,3.970291913552122,Joven (6m-1a),purebred,Other,Monocolor
Cat,Torbie,Spayed Female,Stray,Normal,22,2920,3.1354942159291497,Senior (>7a),purebred,Domestic Longhair Mix,Monocolor
Dog,Brown Merle,Intact Male,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),purebred,Other,Monocolor
